lang,mic,isin,name,symbol,nominal_ammount,nominal_currency_id_formatted,maturity_date,maturity_date_formatted,interest_rate_percentage,last_price,last_trade_time,last_trade_time_formatted,last_trade_time_to_local_formatted,weight_percentage,quantity,change_prev_close_percentage,free_float_factor,weighting_factor,free_float_market_cap,download_date
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,14",2025-09-10T18:00:12+02:00,18:00:12,10.09.2025. 16:00:12,"0,65&nbsp;%","13.545.200,00","+7,00&nbsp;%","0,85","1,00000000","24.638.718,80",2025-09-10
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.840,00",2025-09-10T16:44:34+02:00,16:44:34,10.09.2025. 14:44:34,"11,71&nbsp;%","388.376,00","0,00&nbsp;%","0,35","0,84915861","443.241.555,88",2025-09-10
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"708,00",2025-09-10T18:00:05+02:00,18:00:05,10.09.2025. 16:00:05,"12,41&nbsp;%","2.572.119,00","+2,61&nbsp;%","1,00","0,25791045","469.670.469,07",2025-09-10
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-09-10T16:13:13+02:00,16:13:13,10.09.2025. 14:13:13,"3,07&nbsp;%","2.197.772,00","0,00&nbsp;%","0,16","1,00000000","116.042.361,60",2025-09-10
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"151,00",2025-09-10T17:39:50+02:00,17:39:50,10.09.2025. 15:39:50,"9,43&nbsp;%","7.120.003,00","+0,67&nbsp;%","0,80","0,41497575","356.919.133,06",2025-09-10
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,16",2025-09-10T18:00:07+02:00,18:00:07,10.09.2025. 16:00:07,"9,15&nbsp;%","126.027.542,00","-0,32&nbsp;%","0,55","0,81100146","346.282.467,66",2025-09-10
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"62,80",2025-09-10T17:27:01+02:00,17:27:01,10.09.2025. 15:27:01,"2,28&nbsp;%","1.960.000,00","+2,95&nbsp;%","0,70","1,00000000","86.161.600,00",2025-09-10
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,10",2025-09-10T18:00:14+02:00,18:00:14,10.09.2025. 16:00:14,"0,26&nbsp;%","16.813.247,00","+3,02&nbsp;%","0,14","1,00000000","9.650.803,78",2025-09-10
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-09-10T17:51:03+02:00,17:51:03,10.09.2025. 15:51:03,"8,36&nbsp;%","320.241.955,00","+0,41&nbsp;%","0,04","1,00000000","316.399.051,54",2025-09-10
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"16,95",2025-09-11T17:46:19+02:00,17:46:19,11.09.2025. 15:46:19,"1,31&nbsp;%","4.199.584,00","+1,50&nbsp;%","0,70","1,00000000","49.828.064,16",2025-09-11
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"81,00",2025-09-11T16:47:32+02:00,16:47:32,11.09.2025. 14:47:32,"10,47&nbsp;%","6.784.100,00","+1,00&nbsp;%","0,95","0,76104433","397.292.914,57",2025-09-11
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"39,00",2025-09-11T17:37:49+02:00,17:37:49,11.09.2025. 15:37:49,"1,84&nbsp;%","5.128.721,00","0,00&nbsp;%","0,35","1,00000000","70.007.041,65",2025-09-11
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,60",2025-09-11T15:02:40+02:00,15:02:40,11.09.2025. 13:02:40,"6,58&nbsp;%","13.337.200,00","-1,42&nbsp;%","0,45","1,00000000","249.672.384,00",2025-09-11
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,30",2025-09-11T18:00:08+02:00,18:00:08,11.09.2025. 16:00:08,"2,26&nbsp;%","41.247.193,00","+0,73&nbsp;%","0,25","1,00000000","85.587.925,48",2025-09-11
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"182,00",2025-09-11T17:53:14+02:00,17:53:14,11.09.2025. 15:53:14,"3,51&nbsp;%","1.331.650,00","+0,28&nbsp;%","0,55","1,00000000","133.298.165,00",2025-09-11
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"280,00",2025-09-11T17:44:19+02:00,17:44:19,11.09.2025. 15:44:19,"4,48&nbsp;%","2.024.625,00","0,00&nbsp;%","0,30","1,00000000","170.068.500,00",2025-09-11
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,40",2025-09-11T18:00:06+02:00,18:00:06,11.09.2025. 16:00:06,"9,31&nbsp;%","78.000.000,00","+0,49&nbsp;%","0,40","0,27336938","353.105.760,76",2025-09-11
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"53,40",2025-09-11T17:51:33+02:00,17:51:33,11.09.2025. 15:51:33,"1,97&nbsp;%","3.990.000,00","-0,74&nbsp;%","0,35","1,00000000","74.573.100,00",2025-09-11
hr,0,HRIKBARA0008,ISTARSKA KREDITNA BANKA UMAG d.d.,IKBA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"472,00",2025-09-10T12:08:34+02:00,10.09.2025. 12:08:34,10.09.2025. 10:08:34,"0,92&nbsp;%","148.000,00",-,"0,50","1,00000000","34.928.000,00",2025-09-11
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,08",2025-09-11T16:18:26+02:00,16:18:26,11.09.2025. 14:18:26,"0,63&nbsp;%","13.545.200,00","-2,80&nbsp;%","0,85","1,00000000","23.947.913,60",2025-09-11
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.850,00",2025-09-11T16:19:10+02:00,16:19:10,11.09.2025. 14:19:10,"11,71&nbsp;%","388.376,00","+0,26&nbsp;%","0,35","0,84915861","444.395.830,77",2025-09-11
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"712,00",2025-09-11T18:00:01+02:00,18:00:01,11.09.2025. 16:00:01,"12,45&nbsp;%","2.572.119,00","+0,56&nbsp;%","1,00","0,25791045","472.323.974,55",2025-09-11
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"330,00",2025-09-11T16:08:31+02:00,16:08:31,11.09.2025. 14:08:31,"3,06&nbsp;%","2.197.772,00","0,00&nbsp;%","0,16","1,00000000","116.042.361,60",2025-09-11
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"151,00",2025-09-11T17:46:14+02:00,17:46:14,11.09.2025. 15:46:14,"9,41&nbsp;%","7.120.003,00","0,00&nbsp;%","0,80","0,41497575","356.919.133,06",2025-09-11
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,22",2025-09-11T17:54:41+02:00,17:54:41,11.09.2025. 15:54:41,"9,21&nbsp;%","126.027.542,00","+0,97&nbsp;%","0,55","0,81100146","349.655.348,84",2025-09-11
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"63,00",2025-09-11T17:38:19+02:00,17:38:19,11.09.2025. 15:38:19,"2,28&nbsp;%","1.960.000,00","+0,32&nbsp;%","0,70","1,00000000","86.436.000,00",2025-09-11
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,36",2025-09-11T17:51:02+02:00,17:51:02,11.09.2025. 15:51:02,"0,27&nbsp;%","16.813.247,00","+6,34&nbsp;%","0,14","1,00000000","10.262.805,97",2025-09-11
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-09-11T17:11:16+02:00,17:11:16,11.09.2025. 15:11:16,"8,34&nbsp;%","320.241.955,00","0,00&nbsp;%","0,04","1,00000000","316.399.051,54",2025-09-11
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"17,00",2025-09-16T17:53:45+02:00,17:53:45,16.09.2025. 15:53:45,"1,31&nbsp;%","4.199.584,00","+0,29&nbsp;%","0,70","1,00000000","49.975.049,60",2025-09-16
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"81,20",2025-09-16T16:53:08+02:00,16:53:08,16.09.2025. 14:53:08,"10,45&nbsp;%","6.784.100,00","-0,98&nbsp;%","0,95","0,76104433","398.273.884,73",2025-09-16
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"39,00",2025-09-15T17:44:34+02:00,15.09.2025. 17:44:34,15.09.2025. 15:44:34,"1,84&nbsp;%","5.128.721,00",-,"0,35","1,00000000","70.007.041,65",2025-09-16
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"44,00",2025-09-16T17:51:04+02:00,17:51:04,16.09.2025. 15:51:04,"6,93&nbsp;%","13.337.200,00","-1,79&nbsp;%","0,45","1,00000000","264.076.560,00",2025-09-16
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,36",2025-09-16T18:00:01+02:00,18:00:01,16.09.2025. 16:00:01,"2,26&nbsp;%","41.247.193,00","-0,24&nbsp;%","0,25","1,00000000","86.206.633,37",2025-09-16
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"187,50",2025-09-16T18:00:06+02:00,18:00:06,16.09.2025. 16:00:06,"3,60&nbsp;%","1.331.650,00","+0,81&nbsp;%","0,55","1,00000000","137.326.406,25",2025-09-16
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"284,00",2025-09-15T12:52:05+02:00,15.09.2025. 12:52:05,15.09.2025. 10:52:05,"4,53&nbsp;%","2.024.625,00",-,"0,30","1,00000000","172.498.050,00",2025-09-16
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,50",2025-09-16T17:41:01+02:00,17:41:01,16.09.2025. 15:41:01,"9,29&nbsp;%","78.000.000,00","-1,66&nbsp;%","0,40","0,27336938","353.958.673,22",2025-09-16
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"54,80",2025-09-16T15:18:10+02:00,15:18:10,16.09.2025. 13:18:10,"2,01&nbsp;%","3.990.000,00","-0,36&nbsp;%","0,35","1,00000000","76.528.200,00",2025-09-16
hr,0,HRIKBARA0008,ISTARSKA KREDITNA BANKA UMAG d.d.,IKBA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"472,00",2025-09-12T18:00:11+02:00,12.09.2025. 18:00:11,12.09.2025. 16:00:11,"0,92&nbsp;%","148.000,00",-,"0,50","1,00000000","34.928.000,00",2025-09-16
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,10",2025-09-16T15:52:48+02:00,15:52:48,16.09.2025. 13:52:48,"0,63&nbsp;%","13.545.200,00","-0,94&nbsp;%","0,85","1,00000000","24.178.182,00",2025-09-16
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.860,00",2025-09-16T18:00:08+02:00,18:00:08,16.09.2025. 16:00:08,"11,69&nbsp;%","388.376,00","+2,39&nbsp;%","0,35","0,84915861","445.550.105,65",2025-09-16
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"670,00",2025-09-16T17:51:38+02:00,17:51:38,16.09.2025. 15:51:38,"11,67&nbsp;%","2.572.119,00","-3,46&nbsp;%","1,00","0,25791045","444.462.167,06",2025-09-16
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"332,00",2025-09-16T16:14:14+02:00,16:14:14,16.09.2025. 14:14:14,"3,06&nbsp;%","2.197.772,00","0,00&nbsp;%","0,16","1,00000000","116.745.648,64",2025-09-16
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"155,50",2025-09-16T15:56:05+02:00,15:56:05,16.09.2025. 13:56:05,"9,65&nbsp;%","7.120.003,00","-1,89&nbsp;%","0,80","0,41497575","367.555.795,96",2025-09-16
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,28",2025-09-16T17:51:30+02:00,17:51:30,16.09.2025. 15:51:30,"9,27&nbsp;%","126.027.542,00","-0,32&nbsp;%","0,55","0,81100146","353.028.230,02",2025-09-16
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"62,00",2025-09-16T12:19:15+02:00,12:19:15,16.09.2025. 10:19:15,"2,23&nbsp;%","1.960.000,00","-0,64&nbsp;%","0,70","1,00000000","85.064.000,00",2025-09-16
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,50",2025-09-16T17:12:11+02:00,17:12:11,16.09.2025. 15:12:11,"0,28&nbsp;%","16.813.247,00","-2,17&nbsp;%","0,14","1,00000000","10.592.345,61",2025-09-16
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,90",2025-09-16T16:46:10+02:00,16:46:10,16.09.2025. 14:46:10,"8,37&nbsp;%","320.241.955,00","-0,40&nbsp;%","0,04","1,00000000","318.960.987,18",2025-09-16
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"18,10",2025-09-18T17:23:52+02:00,17:23:52,18.09.2025. 15:23:52,"1,40&nbsp;%","4.199.584,00","-1,09&nbsp;%","0,70","1,00000000","53.208.729,28",2025-09-18
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"80,40",2025-09-18T15:38:22+02:00,15:38:22,18.09.2025. 13:38:22,"10,39&nbsp;%","6.784.100,00","-0,50&nbsp;%","0,95","0,76104433","394.350.004,09",2025-09-18
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"39,00",2025-09-15T17:44:34+02:00,15.09.2025. 17:44:34,15.09.2025. 15:44:34,"1,85&nbsp;%","5.128.721,00",-,"0,35","1,00000000","70.007.041,65",2025-09-18
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"44,00",2025-09-18T15:22:14+02:00,15:22:14,18.09.2025. 13:22:14,"6,96&nbsp;%","13.337.200,00","-0,90&nbsp;%","0,45","1,00000000","264.076.560,00",2025-09-18
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,28",2025-09-18T17:54:38+02:00,17:54:38,18.09.2025. 15:54:38,"2,25&nbsp;%","41.247.193,00","+0,49&nbsp;%","0,25","1,00000000","85.381.689,51",2025-09-18
hr,0,HRERNTRA0000,ERICSSON NIKOLA TESLA d.d.,ERNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"188,00",2025-09-18T16:55:25+02:00,16:55:25,18.09.2025. 14:55:25,"3,63&nbsp;%","1.331.650,00","+1,62&nbsp;%","0,55","1,00000000","137.692.610,00",2025-09-18
hr,0,HRHPB0RA0002,HPB d.d.,HPB,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"292,00",2025-09-18T17:45:41+02:00,17:45:41,18.09.2025. 15:45:41,"4,67&nbsp;%","2.024.625,00","+3,55&nbsp;%","0,30","1,00000000","177.357.150,00",2025-09-18
hr,0,HRHT00RA0005,HT d.d.,HT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"41,90",2025-09-18T17:44:33+02:00,17:44:33,18.09.2025. 15:44:33,"9,42&nbsp;%","78.000.000,00","-0,24&nbsp;%","0,40","0,27336938","357.370.323,09",2025-09-18
hr,0,HRIG00RA0009,ING-GRAD d.d.,IG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"55,00",2025-09-18T17:07:10+02:00,17:07:10,18.09.2025. 15:07:10,"2,02&nbsp;%","3.990.000,00","+1,48&nbsp;%","0,35","1,00000000","76.807.500,00",2025-09-18
hr,0,HRIKBARA0008,ISTARSKA KREDITNA BANKA UMAG d.d.,IKBA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"472,00",2025-09-12T18:00:11+02:00,12.09.2025. 18:00:11,12.09.2025. 16:00:11,"0,92&nbsp;%","148.000,00",-,"0,50","1,00000000","34.928.000,00",2025-09-18
hr,0,HRINGRRA0001,INGRA d.d.,INGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"2,02",2025-09-18T18:00:07+02:00,18:00:07,18.09.2025. 16:00:07,"0,61&nbsp;%","13.545.200,00","-3,81&nbsp;%","0,85","1,00000000","23.257.108,40",2025-09-18
hr,0,HRKODTRA0007,KONCAR - DISTRIBUTIVNI I SPECIJALNI TRANSFORMATORI d.d.,KODT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"3.810,00",2025-09-18T18:00:11+02:00,18:00:11,18.09.2025. 16:00:11,"11,59&nbsp;%","388.376,00","+0,26&nbsp;%","0,35","0,84915861","439.778.731,23",2025-09-18
hr,0,HRKOEIRA0009,KONCAR d.d.,KOEI,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"654,00",2025-09-18T17:52:14+02:00,17:52:14,18.09.2025. 15:52:14,"11,44&nbsp;%","2.572.119,00","-0,91&nbsp;%","1,00","0,25791045","433.848.145,16",2025-09-18
hr,0,HRPLAGRA0003,PLAVA LAGUNA d.d.,PLAG,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"338,00",2025-09-17T13:16:35+02:00,17.09.2025. 13:16:35,17.09.2025. 11:16:35,"3,13&nbsp;%","2.197.772,00",-,"0,16","1,00000000","118.855.509,76",2025-09-18
hr,0,HRPODRRA0004,PODRAVKA d.d.,PODR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"154,50",2025-09-18T18:00:14+02:00,18:00:14,18.09.2025. 16:00:14,"9,63&nbsp;%","7.120.003,00","-1,59&nbsp;%","0,80","0,41497575","365.192.093,10",2025-09-18
hr,0,HRRIVPRA0000,Valamar Riviera d.d.,RIVP,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"6,24",2025-09-18T18:00:12+02:00,18:00:12,18.09.2025. 16:00:12,"9,25&nbsp;%","126.027.542,00","+0,32&nbsp;%","0,55","0,81100146","350.779.642,57",2025-09-18
hr,0,HRSPANRA0007,SPAN d.d.,SPAN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"61,00",2025-09-18T14:57:56+02:00,14:57:56,18.09.2025. 12:57:56,"2,21&nbsp;%","1.960.000,00","-0,65&nbsp;%","0,70","1,00000000","83.692.000,00",2025-09-18
hr,0,HRVLENRB0001,BRODOGRADILISTE VIKTOR LENAC d.d.,VLEN,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"4,58",2025-09-18T18:00:12+02:00,18:00:12,18.09.2025. 16:00:12,"0,28&nbsp;%","16.813.247,00","+1,78&nbsp;%","0,14","1,00000000","10.780.653,98",2025-09-18
hr,0,HRZABARA0009,Zagrebacka banka d.d.,ZABA,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"24,70",2025-09-18T17:42:54+02:00,17:42:54,18.09.2025. 15:42:54,"8,34&nbsp;%","320.241.955,00","-0,40&nbsp;%","0,04","1,00000000","316.399.051,54",2025-09-18
hr,0,HRADPLRA0006,AD PLASTIK d.d.,ADPL,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"17,45",2025-09-19T18:00:14+02:00,19.09.2025. 18:00:14,19.09.2025. 16:00:14,"1,35&nbsp;%","4.199.584,00","-3,59&nbsp;%","0,70","1,00000000","51.297.918,56",2025-09-21
hr,0,HRADRSPA0009,ADRIS GRUPA d.d.,ADRS2,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"83,00",2025-09-19T18:00:13+02:00,19.09.2025. 18:00:13,19.09.2025. 16:00:13,"10,68&nbsp;%","6.784.100,00","+3,23&nbsp;%","0,95","0,76104433","407.102.616,17",2025-09-21
hr,0,HRARNTRA0004,Arena Hospitality Group d.d.,ARNT,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"39,00",2025-09-15T17:44:34+02:00,15.09.2025. 17:44:34,15.09.2025. 15:44:34,"1,84&nbsp;%","5.128.721,00",-,"0,35","1,00000000","70.007.041,65",2025-09-21
hr,0,HRATGRRA0003,ATLANTIC GRUPA d.d.,ATGR,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"45,00",2025-09-19T18:00:13+02:00,19.09.2025. 18:00:13,19.09.2025. 16:00:13,"7,08&nbsp;%","13.337.200,00","+2,27&nbsp;%","0,45","1,00000000","270.078.300,00",2025-09-21
hr,0,HRDLKVRA0006,Dalekovod d.d.,DLKV,-,,0001-01-01T00:00:00,01.01.0001.,-&nbsp;%,"8,30",2025-09-19T17:51:43+02:00,19.09.2025. 17:51:43,19.09.2025. 15:51:43,"2,24&nbsp;%","41.247.193,00","+0,24&nbsp;%","0,25","1,00000000","85.587.925,48",2025-09-21
